[2026-02-13 02:54:01] | CLEAN | Risk=30 | C:\Users\berke\Desktop\Deneme Klasörü\suspicious.ps1 | Reasons=NONE
[2026-02-13 02:55:43] | CLEAN | Risk=10 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\111111.ps1 | Reasons=NONE
[2026-02-13 02:55:43] | SUSPICIOUS | Risk=40 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\asdasdasd.ps1 | Reasons=HEURISTICS_TRIGGER
[2026-02-13 02:55:43] | CLEAN | Risk=30 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\dsadasdsa.ps1 | Reasons=NONE
[2026-02-13 02:55:43] | CLEAN | Risk=30 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\fffffff.ps1 | Reasons=NONE
[2026-02-13 03:02:40] | CLEAN | Risk=10 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\111111.ps1 | Reasons=NONE
[2026-02-13 03:02:40] | SUSPICIOUS | Risk=40 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\asdasdasd.ps1 | Reasons=HEURISTICS_TRIGGER
[2026-02-13 03:02:40] | CLEAN | Risk=30 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\dsadasdsa.ps1 | Reasons=NONE
[2026-02-13 03:02:40] | CLEAN | Risk=30 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\fffffff.ps1 | Reasons=NONE
[2026-02-13 03:11:05] | CLEAN | Risk=10 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\111111.ps1 | Reasons=NONE
[2026-02-13 03:11:05] | CLEAN | Risk=10 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\asdasdasd.ps1 | Reasons=NONE
[2026-02-13 03:11:05] | MALWARE | Risk=145 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\dsadasdsa.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER
[2026-02-13 03:11:05] | MALWARE | Risk=145 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\fffffff.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER
[2026-02-13 03:11:47] | CLEAN | Risk=10 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\111111.ps1 | Reasons=NONE
[2026-02-13 03:11:47] | CLEAN | Risk=10 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\asdasdasd.ps1 | Reasons=NONE
[2026-02-13 03:11:47] | MALWARE | Risk=145 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\dsadasdsa.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER
[2026-02-13 03:11:47] | MALWARE | Risk=145 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\fffffff.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER
[2026-02-13 03:12:23] | CLEAN | Risk=10 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\111111.ps1 | Reasons=NONE
[2026-02-13 03:12:23] | CLEAN | Risk=10 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\asdasdasd.ps1 | Reasons=NONE
[2026-02-13 03:12:23] | MALWARE | Risk=145 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\dsadasdsa.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER
[2026-02-13 03:12:23] | MALWARE | Risk=145 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\fffffff.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER
[2026-02-13 03:15:32] | CLEAN | Risk=10 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\111111.ps1 | Reasons=NONE
[2026-02-13 03:15:32] | CLEAN | Risk=10 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\asdasdasd.ps1 | Reasons=NONE
[2026-02-13 03:15:32] | MALWARE | Risk=145 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\dsadasdsa.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER,QUARANTINED
[2026-02-13 03:15:32] | MALWARE | Risk=145 | C:\Users\berke\Desktop\uheruherugıhewrhuıgü\fffffff.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER,QUARANTINED
[2026-02-13 03:37:35] | MALWARE | Risk=145 | C:\Users\berke\Desktop\Kodlama Projeleri\mini_av\restored\dsadasdsa.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER,QUARANTINED
[2026-02-13 03:38:21] | MALWARE | Risk=145 | C:\Users\berke\Desktop\Kodlama Projeleri\mini_av\restored\dsadasdsa.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER,QUARANTINED
[2026-02-13 15:56:15] | MALWARE | Risk=145 | C:\Users\berke\Desktop\Kodlama Projeleri\mini_av\restored\dsadasdsa.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER,QUARANTINED
[2026-02-13 15:56:48] | MALWARE | Risk=145 | C:\Users\berke\Desktop\Kodlama Projeleri\mini_av\restored\dsadasdsa.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER,QUARANTINED
[2026-02-13 16:10:40] | MALWARE | Risk=145 | C:\Users\berke\Desktop\Kodlama Projeleri\mini_av\restored\dsadasdsa.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER,QUARANTINED
